text,sentiment
Going to make pizza for my lil brothers ,Positive
@shamim86  Shamim we have your song playing loud here...we miss u ,Negative
the last part of that was... i know i like him ,Positive
congrats to the la lakers  a well deserved championship  but i know we will see dwight howard will be back in the finals soon ,Positive
@mileycyrus where can we vote? i love you and your songs  wish i could watch you in person in the future,Positive
"@Kingdommama No, I don't think so. ",Positive
ima get sick from eatting these cheap mints but they r soo good  mhmm,Positive
my doggie's not eating  this has never happened in the history of this dog's life...,Negative
ugh i hate projects ,Negative
I am watching South park while smoking to Bowls LOL ,Positive
@ryankanno hahaha. i know right. i know the feeling  its the asian in me...vertically challenged. lol,Negative
PBA UPDATE FINAL SCORE ALASKA 76 GINEBRA 75 ,Negative
I cant sleep ,Negative
trying not to lose more of my voice ,Negative
"@mtrh Thank you  If I manage to get through today, I'll let you know.",Positive
"@FionaFlame Daughter's 2nd birthday on Friday, so party on Sunday, and just going for days out ",Positive
@caseybby haha GOOD! Im not the only one  LOL,Positive
Audio: viasandiego: this song is great  http://tumblr.com/xko1wn3s0,Positive
@DaMaHug I already like you! Thanks ,Positive
"@EvilSheepie Stay in bed, if it's anything like Darlington, it'll be crap!  ",Positive
Car wouldn't shift into park again...  now I'm worried. Cars are money pits I'm moving to Europe and riding a bike.,Negative
"@TwilightMasterX Not sure, sorry! ",Negative
@Wolfgang_ When I do it'll beo n my Flickr page ,Positive
OMG! Me too!  I'm craving me some almonds now.... Great! @sabriebrie yay dry pasta!!,Negative
"IT'S JUNE 6  yaay! BBQ at my place tonight with everyone, the fridge is full, the digi-cam is ready ;D - I'm soo ready!",Positive
Burnt my bezel too!!! Oh no! ,Negative
"@carlyluvsunited I think, that may merely be a person with way too much time on their hands. ",Positive
Got wet on the way home. New hair looks like crap. Trying to feel happy but not working. ,Negative
@IGNcom please fix the Insider Stream for tomorrow ,Negative
@charlie_danger dayum.  that's like being able to see and THEN going blind.  or having sex and then being cut off ,Positive
I know why the caged bird sings ,Negative
Excited about guest blogging! ,Positive
OMG miley why would you do that!!!! ,Negative
"@mneylon yep, been there   So that'll be letshost fault ?",Negative
"We have launched a beta version of our website, no real products as yet though  Http://crystaldermy.com",Negative
Getting a massage later. Hopefully this will ease the pain I've been having in my neck ,Negative
@msobie great! Thanks for asking.. Now let's get me added to the Linkined group to spruce things up a bit.. ,Positive
@mitchelmusso when is the Australian relese? do you know? please write back ,Positive
"oooh, missed a few replies last night, on account of falling asleep, will try and catch up now ",Positive
"@bernicegan With kids underfoot, sleep is definitely a luxury! Grab all you can, while you can. ",Positive
@ohohvanity whats been goin on?  keep your head up,Negative
@karthikeyan_kk Welcome to the Paunch club ,Positive
i love waking up to his voice ,Positive
@nannerbot I miss you..I'm sad my heart hurts. ,Negative
I FOUND MY CAT! he's in bad shape ,Negative
"@destiniya I'm gone!  I don't know when I'll be back, either... at least 4 months, but it could be up to 14!",Negative
/// I think I'm gonna go see Pastor Creflo Dollar preach today...Get that word in while I'm here.  creflodollarministries.org,Positive
ahhhh back at maclab...starting to really get sick of this place. but got a few more nights here to come ,Negative
@JOSE_FRESH no  still in bed. Listening to the rain and sneezing.,Negative
&quot;The Skynet has you...&quot; (Ñ?ÑÐ¾ ÑÐ»Ñ?Ñ-ÑÐ¾Ð»Ð¸Ðº-ÑÐµÐºÐ»Ð°Ð¼Ð° Ð½Ð° ÐºÐ¸Ð½Ð¾Ð¿Ð¾Ð¸Ñ?ÐºÐµ) - Ñ? Ð¿Ð¿Ñ ÐºÐ°Ðº Ð¾Ð±Ð¾Ñ?ÑÐ°Ð»Ð°Ñ?Ñ - Ð´ÑÐ¼Ð°Ð»Ð° Ð¾Ð¿Ñ?ÑÑ Ð²Ð¸Ð½Ð´Ñ Ð¿ÐµÑÐµÑ?ÑÐ°Ð²Ð»Ñ?ÑÑ ,Negative
@firefaunx but apparently having my Pluto in Scorpio is why I (&amp; my generation) are so interested in gender issues. ,Positive
"@MommyBrain Ooh, I like giveaways! But I should be working. Darn you twitter people! ",Positive
@caitlin6694 its redoing our coursework and she's told me what to do just not where. And the dictionarys aren't helping ,Negative
@KatieHBJones Thorntons!? I feel outdone!  Is he compensating for the man points he lost losing to me at Twister despite #twisterinjuries?,Negative
@natalieee1028 is my newwwww follower! ,Positive
"Was on a date and he asked me if my lips were real. I was like &quot;Yes, but I'm so flattered you think they aren't!&quot; Best compliment ever ",Positive
"think I am going to pick some lavender today ... it is looking so beautiful, a wash of purple ",Positive
sore throat ,Negative
Follow @RetireWithCarla - the 1% ethical group member and a personal friend ,Positive
Anyone know of any rich people who would like to help me pay off my loans? Got denied from the Peace Corps because of them ,Negative
@RealHughJackman CCF - save a child's life who needs a heart transplant - we need research $$$ - HELP - dont forget the kids.  ,Negative
@Bud101 i followed urs. Now please follow my girl @jordynmallory ,Positive
@gigsandtours did i win tickets :| ,Positive
@Luv_chealseaFC im not sure just worry cause last time she was gone this long she was in the hospital ,Negative
ugh have to get my eyebrows done now ugh u h8 gettn dem done ,Negative
@thirstforkirst how come mine!  ))),Negative
"@SmashMe_EraseMe well now that school is out and I need to upload these videos to youtube! All the Chicago vids are almost up, IN soon! ",Positive
is at the beach!!! ,Positive
Sexy Costume - Feline Feisty Cat Costume http://bit.ly/H6RNb He will be purring just for you and who knows what else he would do for you ,Positive
At the doctors office woooo so much fun. Have to go back to wotk after this cant afford to be off. ,Negative
@OtaliaRocks Not it doesn't stop...nor should it. ,Positive
Bull Shit ,Positive
Phy test was OK ! ,Negative
@Dannymcfly that was random! but its a obvious statement ,Positive
@nickslaughter serbia loves you ,Positive
bloody @natalie_1990 has just ruined my night!! ,Negative
Happy Birthday Bayla Waves ,Positive
@SassySueN thanks!!! and yes. I am actually worried about that.. ,Positive
Still trying to learn how to post pictures..not easy from my phone    Have some  nice pictures taken while riding.  Hope to post soon.,Negative
@sojufied haha I learned when I worked for a coffeeshop ,Positive
"another sad morning, today my dad is going to go to LA, I will miss him ",Negative
going on a dinner date w/ my sweety  feelin much better today!,Positive
@isitvogue So I guess you miss the concert  Good set list. Too much bass. Couldn't hear the vocals very well. Ladytron was pretty good tho,Negative
@officialnjonas that you for putting who it's by. i need to look up more by him. he really seems like a brilliant man ,Positive
@jimmiereign RIP to your puppy.. i've got a year and a half dog and i think i would be depressed for months if he would die ,Negative
"beautiful, dirty but not rich ",Positive
"Hmm...interesting way to put it.  @limecello graying != S&amp;P hair. both=fine, but gray = fading. @moirarogersbree @laurendane @c2s @lnjen",Positive
Pooped! bed.. then a hike in the woods tomorrow ,Positive
"@DaveMoran Good going for having a wee baby  I think I clocked up 80+ hours. I had a lot of time on my hands then, however. #fallout3",Positive
i think i'll go to my gran's again today. im so sick of being stuck in myself ,Negative
Sosososo happy about the liverpool poster and the torres card i got  today,Positive
"AF447 presumed down, everyone on board presumed dead. ",Negative
@countrycourt im good! not doing too much.. noo job!  glad to hear that ur doing well...expect something in the mail in 2 weeks!,Negative
Yay twitterific works ,Positive
@myopicrhino the navigation ball stopped working properly. ,Negative
Is 36 dollars too much to pay for a tank top even if I really want it?!  damn u adult responsibilities.,Negative
why aren't we leavingggg ,Negative
@tamodom i think the conversation from last night plagued me today...if you catch my 'drift'.... ,Positive
"Damn, back to work tomorrow. Lame!!!! Why can't I be on vacation still?? ",Negative
@johncmayer It's nothing wrong with that.. She may be a hardcore cereal &amp; milk kind of girl. ,Positive
goodmorning ,Positive
@Katgirl625 my treadmill is a demanding beyotch...LOL!  She speaks to me everyday.  But then my mexi restaurant calls on the weekend.  ,Positive
"holy goodness, ive got 10 more followers in the past day  tweet me if your new cuties.",Positive
@KNichole25 yessss! ,Positive
@MyShowbizName I wish you were here too ,Negative
Tee Hee. I want you to come over right now to watch the rest of Across the Universe. ,Negative
"@ZombieBoySam I'm sorry for you it got cancelled  I was very &quot;meh&quot; about first 5 eps of Dollhouse, but it's suddenly got really exciting!",Negative
hope everyone is having a good weekend ,Positive
in mi house! ,Negative
"Ok,I should B sleeping,tanning or something other than standing at an auction try'n to buy pots &amp; pans for a friend  You know who U are!",Positive
@TonyMast Thanks for the shout-out!  Too bad Discovery seemed to bag on YouSpoof 2.0. I think MvC could have won.,Positive
"Omg it's rainy  eatin some nothinfor breakfast!Then gettin a shower wake from 2-4,7-9 for my girl Rooney. It's okay girl we got your back",Negative
@Chriss_S is this right??? ,Positive
I see you Denver! YAY!  So close ,Positive
Party was pretty great ,Positive
@theonly1iknow ,Negative
I wish i was larisa sleeping in my bed right now ,Negative
"@dougiemcfly sounds good  remember me, met you out side that shop after hammersmith gig? at 1am??? haaa  thanks for stoppin x",Positive
"@ExBP_Buddhist Lol OMG yes, thats an unforgivable offense...i'm sorry I sprayed the bugs ",Negative
Pondering scrapping work laptop today and going from Vista to something along the lines of Ubuntu Desktop 9.04 ...will have to dual boot ,Negative
@shazzyboo deep down inside ,Positive
@jazzii3phiizzl3 oh mm gee we got aerolas in the live tonite ,Positive
trying to kill time. everyone went to fiesta so im stuck at home til tonight. going to jon michaels appt. gah im so hungry ,Negative
"You say Britain, I say Talent. Britain's got talent, it's the DJ Talent. Classic  http://snurl.com/j1w14",Positive
@DawnRichard your dog is adorable and the house is beautiful!. hows ur positive day going? mines much better now that im off work ,Positive
"Okay, so my last tweet about people... I really pretty much love em!  hate to be a debbie downer on such a lovely Friday! ",Positive
still working on assignments &amp; it sux that the govt doesn't think doing an MBA fulltime is worth supporting  need an income quickly,Negative
Home alone and bored... what a wonderful friday night ,Negative
@thesmartmama hoping to be there!!!!  excited for you!,Positive
@snackpak Thanks! I'll need both ,Positive
"@jimmyliew That is true. Would be kamikaze, stand somewhere until ppl catch you - the streams will already be LIVE tho ",Positive
@praweshsth wished him frm ur side .. tara the thing is his bday was on may 16th ,Positive
Alhamdulillah. Everything was going well. Arwen passed the test. NES here she come  #NES #fb,Positive
@iEllie come on starbucks its my kind of class  Dunkin is so passe compose (lol made up my own cliche),Positive
@itz_cookie Hecky yeah boo. But there is a lot old classic stuff that i havent heard yet. LOL! I jus heard Reasonable Doubt last week. ,Negative
"Need to send emails to 100,000  contacts? Check out EmailUnlimited on http://www.4officeautomation.com ",Positive
"@hedahed_xo i know, its should be illegal, seriously - i can't wait to laugh at it though ",Positive
@Timah_ I meant 'RetWeet!' ,Positive
Omg my entire body hurts soooo bad..like seriously I can barely move  and it feels like forever since I've hung out with my friends (,Negative
http://twitpic.com/674el - &quot;Mayhem&quot; I'm puppysitting on Saturday ,Positive
I hate that Gail is like this ,Negative
@jfsylla I add an antacid to this combination ,Positive
@GentleSinner @RainyCityLove OHHH  Yay ,Positive
@wilkening I bet it was delicious! ,Positive
"my eyes are aching for some reason... since a few hours.... washing, napping, blinking fast doesnt seem to help.... ",Negative
Worked out major today. My bodey is sick taking him to the vet tomorrow.  going to the movies w/Brendan,Negative
Watching the Gadget Show summer special again! ,Positive
This game is over.   I really hope that Orlando plays like this against the Lakers.,Negative
@JEmmanuel Seriously maybe worst day of my life ,Negative
Waiting for a lecture to start ,Negative
@JustJames_ enjoy it mateey  dont forget my lannyy  haha ! ,Positive
@paranoidpark i thought you fell asleep so i went to bed ,Negative
all school work done  hopefully getting my phone back soon! xo,Positive
Oh yeah...Happy birthday E! He is 49 in dog years. ,Positive
@willfrancis sounds well boring ,Positive
wow im on youtube check it ouut type in ghost pictures show FREAKY :S wah it scares me nah lol  but it is pretty creepy seriously do it!,Positive
I think I ate too much peanut butter. ,Negative
"went shopping, found a dress i liked. but mom said wasn't formal enough for graduation  bought half dozen roses for mom. they were pretty.",Negative
trying to figure out how to do this . haaa ,Positive
If I was to be gone for 3 days would you nudge me ,Negative
@ZRHERO you need to start working   http://twitpic.com/6tzbr,Positive
up for an early run on this beautiful saturday morning. then spending the rest of the day by the pool. Manayunk bike race tomorrow!! ,Positive
Could use a hug right now ,Negative
@niiicolebby rly? do i even wanna look? http://www.purevolume.com/heymonday/photos/2826832 that'll make you feel better ,Positive
"@JessObsess I'm terrible, seriously. Sorry. ",Negative
trying to download movies to my MP4 but it won't work! i'm so frustrated. i've been trying it for more than an hour ,Negative
"@TheLadyJane Oh, lawd, if there is a god there won't be pictures of me in that magazine. ",Negative
@charlyhorsegirl me and you. true JB fans ,Positive
"getting springs in my mouth this morning , and working tonite  ahha sounds like a sick day! . HIT ME UP AT WORK ! i love you shanee (:",Positive
@loopy3lynn  Lynn Dun &quot;OTTER&quot; castle just brings bad bad memories... need bit more info about this one ,Positive
"is glad the lakers won last night, but kinda disappointed that there's no more games to watch ",Negative
M&amp;G and greet is awhile ago!??!?! i wanna cry    . we waited for him to go out. we didnt sleep.  and when i went home. he poofs out,Negative
48h sans dormir  48h witout sleeping. Well then i ping !,Negative
@YoungQ I did not I am pregnant and my headaches won't go away! I've been laying around not my idea of productivity I'm better than that! ,Negative
@MartinaR2100 not nowzb now runnin an errand for my mom ,Negative
"@mitchelmusso Hey, I am british and I'm a big fan of your's. I love the song you did with Emily      Beth xox",Positive
says morning! Showing the mum &amp; bro my uni today  http://plurk.com/p/xwr0v,Positive
"@HAMMER32 I didn't know either. I don't follow any celebrity that doesn't follow back, but doesn't stop my from checking out their page! ",Positive
"@citychains ohh, right. lol, i got it, it's pretty good. thanks anyway ",Positive
History project with whit! Omg I'm sooo full ,Negative
"@bungieboy They are spec'd up to 200Mb/s, but as the LAN Ports on my current router are only 10/100 I won't be seeing those speeds ",Positive
@Mummy_Fitz fadin... ahm gonnae huv tae stoap this ,Positive
@HeatherinBC me too! ,Positive
cooked some pancakes...now leaving to Tucson to go shopping for some nice job interview clothes...Ross's here i come! ,Positive
@overhope sooo. ranzel and you are talking. ,Positive
is excited about Taylor Swift on wednesday!!! ,Positive
really missed my Bose headsets...makes a world of difference to stay up and pumped ,Positive
"Gonna finish off watching,iamsam  seriously i think its such a good movie,it made me cry when i promised myself i wouldnt, :l jpoihdf",Positive
Still no shoes for the dress i'm gonna wear next month for the wedding ,Negative
@MzTaurusB I wish I was too! ,Negative
Right now @unclewilco has 354 less followers than @shedworking http://www.whohasmorefollowers.com wish I did not know now ,Negative
Too bad I had to come into the office ,Negative
I twisted my knee and can now barely walk on it. Not sure what happened but it hurts  #fb,Negative
"@sickchild72 chelsea vs arsenal , 10.25pm ",Positive
Good morning. Moving a little slow this morning from my bike wreck yesterday. ,Negative
"My dentist is awesome and my dad had a worse day than me, so I feel bad about whining about my teeth hurting. But they do. ",Negative
going to watch UP @ 8:30 ,Positive
@ninoflipelican whateva nino...I dnt even want to hear it.. ,Negative
No.. The 'one' song is not gonna happen this night  http://myloc.me/42bB,Negative
@RitchardFewell Aww too bad! Next year ,Positive
pretty bored right now. Just finished dying my hair back to black.  [Let's Make A Mess],Positive
"@cantanta yeah,  though the music was a little bit too loud.",Positive
@sllpinkprincess i journey to st tropez every three days  haha,Positive
"is Interested to see how targetted campaigning does appear to be effective, distorting expected trends. Luckily we were ignored. ",Positive
@Dannymcfly @tommcfly @dougiemcfly @mcflyharry it was my birthday friday and i got yoour dvd  ... AMAZING !,Positive
"@sammoran Sam, may I ask an odd question?  What might your fave animal be? ",Positive
Missing daddy today   But will see him tonight....Happy Father's Day Dad!!,Negative
"@zomgwtfninja fail, that's during nats  ! Also aiyaa you're still not better?",Negative
@jugocacheiro can't believe it! ,Positive
stomach hurtsss!  i need food but i can't get any this late without waking Dad...i guess i'll just go doe in my sleep. night twitpops!,Negative
my hot water is so hot that I've just burnt two fingers while washing makeup brushes ,Negative
@amcnugget tomorrow with thee nephews&lt;33 i love you like a sister right now ;) jk betch cuz u are my sister ,Negative
This Movie is so Sad but really Good. It's: Hotel for Dogs! It's really a Sad Movie  It makes me Cry! I'm so Emotional. I love Bradley!,Negative
@ewwitsjorge hopefully ,Positive
went to a new vet w/ Mollie and they don't know the trouble with her either  but they gave her some new food to see if it helps,Negative
@Schwarzenegger I love ya....and voted for you. (FYI) ,Positive
good morning! ,Positive
Midnight frisbee golf? Now I really DO wish I had bought those glow-in-the-dark discs when I had the chance.  #squarespace #trackle,Negative
@HoopinisPassion because it sucks... obviously! ,Positive
Everyone follow Bella Cullen: @Bella_sCullen thanks ,Positive
@BlairDC Holy crap babe r u ok? ,Negative
@augustagaliving I wish mine would go to sleep. ,Negative
"@brainsteww haha no, they are all good things  i swear",Positive
http://twitpic.com/801ij - View of the beach about an hour before we hit the road to come back to ohio ,Negative
its funny how andy assumes he's not the first to call me. ily him though. i made him feel bad ,Negative
"@aamelia hahahh aw i love you, can you pleaase tell me why you where in a bad moooddd or feerl bad?! ",Negative
attending #javaone - looking forward to a week in SF dedicated to java ,Positive
Porto's bakery for a late lunch ,Positive
I just got done with yard work.  Phew ,Positive
@EdwardACullen_ I'm Good yeah thanks ,Positive
touche' Jack...         &quot;Veterans&quot; http://tinyurl.com/lz3m7d treasure spot detecting relic,Positive
Revision Sucks ,Negative
my throat is so swollen that my chin is disappearing. ugh this sucks. i can't even swollow without tons of pain. ,Negative
"@Rosenbergradio but youve got some other skills i can believe in, like eating late-nite taco bell &amp; wearing a wrestling belt to the club ",Positive
@sadityNpretty i missed your party  ... When is the next one .. Im there,Negative
@donniewahlberg all 5* were sold out  but it has to happen! I am keeping my faith and putting my mind to work to find a solution!,Negative
"@indmix aww I miss u 2 nightmare, ill be home within the week, gotta be here 4 rehearsal ",Negative
I'm not having a good day Tweeple... I need some cheering up!  Or somethin...,Negative
Home doing nothing on a Saturday....I work tonight  got to make a living somehow while im getting my degree,Negative
hate when he leaves...two weeks without him ,Negative
On my way home. Feel sick (please no)  learning...,Negative
"Sorry about the NoirWeek reposts. Each time I thought I had the right rss feed, it turned out I didn't. ",Negative
Holy crap is it hot in my car without AC  black interior ftl durring summer,Negative
fed up as a fed up person can be today!!!! ,Negative
@Tracy_RPattz WTF!!! u being serious???? OMG!! EXCITED MUCHO  thts only a year and a half away happy days its ma fav 1 for obv reasons ;),Positive
"Well that's a bike ride done, now for a run and a swim. Bloody typical that today's the day I come down with a cold ",Negative
@LaurieInQueens  Crap.  Sorry man. Best I could think of.,Negative
I am truly gutted Warren is dead. Hollyoaks won't be the same ,Negative
My computer system broke down and all my files are gone  Especially those precious pictures!! Damn. Gotta start from scratch.,Negative
Awake. Had a really good nap ,Positive
Am I allowed to say when my heart hurts? ,Negative
OMG 1st night back and DRAMA as usual why can't some women just take a little &quot;bitch break&quot; from time to time. I miss my BFF  #fb,Negative
Recorder did not record Merlin properly. I don't understand why it didn't work. Am very sad ,Negative
I don't think breaking these shoes in today was a good idea... ,Negative
@renasongs:  lol true. And no prob ,Positive
on the couch not well ,Negative
@RobKardashian Wine nite with the girls!!! ,Negative
"@inevergrewup Oh, my bad. No, I was not being sarcastic when i said that about being upbeat. Your site is neato!  Have a great day.",Positive
@jonnyrockunit pretty epic crew as well ,Positive
"@gsik Arre I ate one, and it was rubbish. Mangoes are my soul. I will do anything (legal) for them. Right now, very sad. ",Negative
"@NutriNerd Yes, Can't wait to talk! I sent you a DM too. Check it out. ",Positive
Great aul day in Carlow  Exams on Wednesday ,Negative
"@Dojie blonde,posh with a beard.lol not my cup of tea but floats your bros boat.lol ",Positive
"Huh, my TweetDeck seems to be missing some of my friends' tweets ",Negative
"@tanyalees yes, twittering with beautiful women would be a nice way to spend my day but unfortunately it doesn't paynthe bills. ",Negative
@mirroredlight Is that a profile picture I see? An official welcome to Twitter is deserved !  hope exams are going well.,Positive
business emails and phone calls  http://tumblr.com/xac1xcl07,Positive
@JarrettMurgolo honey... its the internet.  they do that.,Negative
"damn you abc, why must you play Dr Who on a Sunday while Im at work  hoping I finish at 730...",Negative
"7 Dresses down, and ready to start my daughters wedding dress, I was gonna start today but had to be tortured at the dentist ",Negative
I think of things I want in life - I manifest. ,Positive
I'm hoping to go to Myrtle Beach!! I haven't been since high school! ,Negative
im really happy... ,Positive
Nice view of Long Island sound from my hotel room... With nice balcony and Adirondack chairs!  [pic] http://ff.im/2wde4,Positive
Mangerial accounting  ...,Negative
You know how I'm into gags? Found this.  #nsfw  http://tinyurl.com/ooygu9,Positive
"@chuggalove BLACKBERRY OR IPHONE?  i wanna stay true to apple, but i'd rather not get a touch screen phone.",Negative
sick today  thank god for theraflu.,Negative
getting ready to go home ,Positive
@koshereye they are in Canada anyway ,Positive
'What I like about you' A classic show ,Positive
Goodnight  don't be afraid to say it back,Positive
Dreamt last night Mommy told me that Daddy wasn't my daddy; why are my nightmares more disturbing than scary? ,Negative
a vanity search for davidyhlee at oneriot.com brings up no results ,Negative
"@JFLG then you, sir, are in for a world of fun ",Positive
"@valberg1 =D No Problem, they'll miss you really, they just dont wanna admit it ",Positive
My doggy's home but not better. She has 4 medicines and can only eat chicken and rice.  I still don't understand what they said was w ...,Negative
@katyrullman This is why you need to not be over in the Old World. I misses hanging out and being awkward with you ,Negative
"can't add my #Facebook account within #Tweetdeck, the button doesn't work and nothing pops up when adding the Facebook column ",Negative
@moonfrye the betts-green institute for awesomeness  (or awesome kids)...,Positive
@ScuBVuitton thanks 4 clarifying that LOL ,Positive
Ciara's really great on Ellen! She's unbelievable!  I had fun watching it!,Positive
Best birthday ever. Untill the house sold. ,Negative
"animal crossing, taking five, and a nice warm blanket.. exactly what i need right now. my toe/leg is killing me and so is my burnt thumb. ",Negative
@puppaz that really sucks I feel bad for you at least I woke up at eight. ,Positive
Just finished watching Vampire Knight! Aw I feel like eating Burger King now  And I update alot..,Negative
's tummy still hurts ,Negative
@Matt__Jordan hahahaha! daa and i were so worried! paha! im sorry it was busy and messy and you were all alone! i hope things got better! ,Positive
@devindaiquiri :O what happen to your myspace? ,Negative
Its so nice out...going to get a tan ,Positive
"@dominateadwords Hi Greg, when will we start receiving your online course ? Javier from Singapore ",Positive
no full episodes of discovery channel shows ,Negative
"Updated her friendster account,answered comments. *WOLLA* Almost finished. ",Positive
"I turned off my mobile phone while it did an update, now I don't know how to turn it back on ",Negative
"it took a long time b/c of writing descs!  wrote a new one for tirloth and pwned!elathrad. i'll probably scrap them tomorrow, but. ",Positive
Watching the promotion. Its not very funny ,Negative
this girl in my english class just gave myself &amp; a few people free soda. roooot beerr ,Positive
@laingrithdz Thanks a lot! You're very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day!,Positive
So I wrote a little fictional story  friends of mine can access it in my blog on myspace. titled &quot;That Sinking Feeling&quot;. TWEETER WTF?!,Positive
@encoresara A way to avoid just talking to yourself will be to talk about some topics that might attract search hits fr kindred spirits. ,Positive
I feel realy sick ,Negative
@KidCalloway won't say all that but that nigga did rejuvenated it a bit and HI Akeem  lol,Positive
"I love surprises. Boy, do I love 'em. Especially when they are not little.  Me = ",Positive
@Schnuti thats good to read ,Positive
@JoshPer 8.30 am  *Studying* for it now.....,Negative
I finally have stuff on my walls. ,Positive
@CalebFTSK @austinbello @iamjonathancook ; its my birthday today. wish me a happy one? it'll mean the world to meeee. ,Positive
I don't want to go to 6 and 1/2 street I wanna go to a real party ,Negative
@toledorocks Hey! Saw your tweets.. excellent stuff. Follow me so we can tweet ,Positive
Cruisin w @brookeadamstbg5 to a Li Cari charity event! Everyone follow her! ,Positive
@njlevy @NeonGypsies lost his right leg in a tragic waterskiing accident. He's pretty sensitive about it. ,Negative
@kidcatastrophe so cool to hear you guys on 104.5! and i can't believe you in were cherry hill a few weeks ago and i missed it  come back,Negative
maybe it's not my day.oh well. ,Negative
@greglongmusic you're gonna look sooo muscular for your shoot today! ,Positive
"just learned to appreciate dentists, hehe! ",Positive
between happy and mad ,Negative
@yudhaperdana r u serious? do u need 1? jus join wif me next weekend dude... ,Positive
I was very honored to be a guest on @CoCreatorRadio this morning!  http://twurl.nl/46l3aj,Positive
"Just showed a patient how to do a proper pushup.  In my office, in a dress.  lq2m at it, though she was appreciative.    #fb",Positive
"@VanessaaHudgens I'm from Brazil and Brazil loves you! I think that Bandslam will be awesome  PLEEEEASE, PLEASE PLEASE REPLY, please!",Positive
@chinitapr3 you can come!  and no its not too much food! @whatescohas2say,Positive
@andysowards awwww Andy! thank you ,Positive
@curtcavin I agree. Texas is awesome. Enjoy your week off. ,Positive
@tommcfly http://twitpic.com/6sicb - allready missing u in Argentina ,Negative
Thank you for the #FF!  @BigBlackDogs @Whisk_food_blog @crispywaffle @foodphotoblog @foodluvin @afuqua @chezus1 @wildyeast,Positive
"Sooo, our first game is proving to be a bit ambitious and is taking longer than either of us wants but I suppose we knew that going in ",Positive
@JonathanRKnight I'm dying to know if you drank the sake but I've got to get some sleep. See you in 12 days ,Positive
"@CXI @markmorow. Unintentional retweet.  Sorry.  I'm just not on my Twitter game this evening,  Carry on. Nothing to see here.  ",Positive
@trendhunter Very nice pics! Thanks for sharing it  ,Positive
My new tigidy tat is ugly! I think I hate it ,Negative
@wordsonnapkins Perhaps.  Sounds good!! Wasn't he saying that it was close to his house? St. Elmo?,Positive
New Glee episode on September 23rd  Way too long of a wait.,Negative
Just came back from jogging and feelin good ,Positive
"haha, conquered english, was dead easy  home now, sunshine time.",Positive
@jaymelyn525 so so I always get a migraine after the opticians ,Negative
Haiiiss! such a lonely holidayy! ,Negative
@elise0605 On a sunday...you poor thing  How long you got to work?,Negative
"Watched the movie UP! tonight, it was adorable. Didn't get to watch it in 3D though ",Negative
@iamonyx ahhh man ... ketsup ,Negative
"@PumaSwede I'm not sure they're of this world, you know? Those colonies they live in have got something alien about them! ",Positive
"@Randydeluxe @extralife episode #148 aint working on itunes or the website. 135kb mp3-file, guess you know already but wth ",Positive
i cannot believe it is the last day of spring break ,Negative
http://twitpic.com/6tlo5 - but this pic isn't so good ,Negative
@kimishina I'm sorry ,Negative
@joeymcintyre Wish I was there ,Negative
OK gonna try and go BACK to sleep. (No more creepy dreams please.) ,Negative
@owenbarder it's an interesting empirical question. But I think theory supports my view ,Positive
@rambonie yah. Harry just woke up. I'm making his coffee now. I spoil him sometimes ,Positive
can't get haircut until 2morro...  ...,Negative
@_krristii lol same here girl! what i gave you was like only 10% of bands i like! hahaha ,Positive
@WillYoungfans Waves and says good morning and nice to be following ,Positive
I think Requiem will be one of those gut-wrenching films I can only watch once...like Atonement and Revolutionary Road ,Negative
Dancing With the Stars finale tonight! AAAAAHHHHHH!!!! Vote Melissa and Tony!!!! So exciting! ,Positive
is working on a &quot;Banner&quot; for a Photoshop Contest! ,Positive
@tommcfly  Why do they say such things   Ruined my happy night. Don't like people D:,Negative
At Shemallen's cotillion. Table 13 to get our food. ,Negative
Is this Silverstones last F1 race event? I hope not! ,Negative
@KristianaNKOTB you're welcome ,Positive
Blah .. Going back to bed .. I hope .. I think libby might be waking up  .. Sooo tired ..,Negative
@davidkyle GR8 2 FINALLY meet U last night! Fab time at tweet up!! ,Positive
@Sunshineliron that was awesome!! ,Positive
Overall I liked the album. Although I do like the synth/electropop'y thing. Apologies for annoying with the stupid amount of tweets ,Negative
is thinking I should've gone to the roller derby ,Negative
@TheRealJordin Good morning Jordin ,Positive
@Jonasbrothers you guys be safe and have fun on tour!! see u july 13 ,Positive
@hahaha no fabulous green hutches at the holiday inn ,Negative
is getting fat again  must start exercising...,Negative
Crammin in some last min study time! English exam all morning! I have that sick exam feeling  ,Negative
@grahamcoltonfan because they were bothering me  lol,Negative
"@amber_benson LOL!  tara was so well loved and still is!  Just the cross you have to bear.  But as crosses go, its a good one ",Positive
"In my garden, chillin', going to the gym later ",Positive
@yordikins i see  thanks,Positive
"@coriluvnthedon I know!! I wanted to go so bad, but had to send my daughter to school today and didnt have anyone to pick her up!! ",Negative
"@Jnyflower damn, serious? i've been on my reception girls for 2 months about that package...  emailed the itssokrucial.tv address",Negative
my friend told me my tweets suck..so fu*k him  LOL! Had a long weird day! Stopped and talked to jeff came home to some xbox now bed time,Positive
@caryAK I surrendered today also  It has a hold on me!!,Negative
"Have a great day, Jen.  &quot;Somebody&quot; had me up early because she was hungry...it's Saturday.  ",Positive
